date,seller_code,Display Name,Company Name,Seller Type,brand,SKU Code,SKU Name,Category L1,Category L2,Category L3,MRP,Display Price,Selling Price,Total Qty,Total Orders,Total Customers,Platform
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000011,"inde wild Champi Hair Oil With Bhringraj, Brahmi & Amla For Regrowth, Hairfall & Dandruff Control",Hair,Hair Care,Hair Oil,209804.0,167796.0,156905.68,118.0,110,109,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000003,"inde wild Champi Hair Oil With Bhringraj, Brahmi & Amla For Regrowth, Hairfall & Dandruff Control",Hair,Hair Care,Hair Oil,287179.0,243167.8,227916.97,316.0,311,311,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000044,inde wild Champi Bond Repair Shampoo,Hair,Hair Care,Shampoo,1150.0,1093.0,1033.44,1.0,1,1,Nykaa Man
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000023,"inde wild Champi Hair Oil With Bhringraj, Brahmi & Amla For Regrowth, Hairfall & Dandruff Control",Hair,Hair Care,Hair Oil,33915.0,32215.0,30566.33,85.0,84,84,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000049,inde wild Champi Slick Stick,Hair,Hair Styling,Gels Waxes,999.0,949.0,871.75,1.0,1,1,Nykaa Man
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000042,inde wild Iconic Duo With Bestselling Champi Hair Oil & Dewy Lip Treatment,Hair,Hair Kits & Combos,Hair Kits,5244.0,4194.0,4044.49,3.0,3,3,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000034,inde wild Dewy Lip Balm - Masala Chai,Skin,Lip Care,Lip Balm,47647.0,40402.4,38017.32,53.0,49,49,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000024,"inde wild Moonlight Scalp Serum With Moringa, Bhringraj & Amla For Maintaining Healthy Scalp",Hair,Hair Care,Hair Serum,6487.0,6162.0,5699.23,13.0,13,13,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000014,Inde Wild Dewy Lip Balms - Transparent,Skin,Lip Care,Lip Balm,68714.0,57757.2,54635.63,86.0,75,75,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000019,inde wild Radiant Hair Ritiual Minis Kit,Hair,Hair Kits & Combos,Hair Kits,6286.0,5341.0,5196.78,7.0,7,7,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000018,Inde Wild Rose Sun Mist SPF 50 PA ++++,Skin,Sun Care,Face Sunscreen,8490.0,7220.0,6696.49,10.0,10,10,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000034,inde wild Dewy Lip Balm - Masala Chai,Skin,Lip Care,Lip Balm,1798.0,1528.0,1396.0,2.0,2,2,Nykaa Man
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000020,inde wild Luscious Locks Hair Kit,Hair,Hair Kits & Combos,Hair Kits,17184.0,13744.0,12210.85,8.0,8,8,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000044,inde wild Champi Bond Repair Shampoo,Hair,Hair Care,Shampoo,109250.0,95987.0,89662.78,95.0,91,91,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000015,inde wild 15% Vitamin C With Turmeric & Niacinamide,Skin,Serums,Serums & Essence,27580.0,20692.0,20340.32,14.0,11,11,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000010,inde wild Moonlight Scalp Serum,Hair,Hair Care,Hair Serum,94721.0,80501.0,74392.8,79.0,71,71,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000011,"inde wild Champi Hair Oil With Bhringraj, Brahmi & Amla For Regrowth, Hairfall & Dandruff Control",Hair,Hair Care,Hair Oil,3556.0,2844.0,2844.0,2.0,2,2,Nykaa Man
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000043,inde wild Champi Bond Repair Conditioner,Hair,Hair Care,Conditioner,85100.0,73091.0,68417.16,74.0,69,69,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000014,Inde Wild Dewy Lip Balms - Transparent,Skin,Lip Care,Lip Balm,1598.0,1358.0,1223.52,2.0,2,2,Nykaa Man
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000049,inde wild Champi Slick Stick,Hair,Hair Styling,Gels Waxes,36963.0,35113.0,32084.59,37.0,36,36,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000036,inde wild Dewy Lip Balms - Caffeine Addict,Skin,Lip Care,Lip Balm,12586.0,10606.4,10035.7,14.0,14,14,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000035,inde wild Sunset Restore Phyto - Retinol Barrier Strengthening Serum,Skin,Serums,Serums & Essence,7880.0,6304.0,6155.13,4.0,4,4,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000026,inde wild Dewy Lip Balms - Wedding Rose,Skin,Lip Care,Lip Balm,38657.0,32852.0,30470.7,43.0,42,42,Nykaa Beauty
2026-01-31,3820,Inde Wild,Inde Wild,Brand Company,inde wild,INDEW00000010,inde wild Moonlight Scalp Serum,Hair,Hair Care,Hair Serum,1199.0,1019.0,1019.0,1.0,1,1,Nykaa Man
